,name,description,id
470,Rebecca Minkoff Julian Nylon Backpack - Red,"A campus-classic backpack goes sporty in sleek, lightweight nylon for serious street-chic attitude. A gleaming clip-lock detail and dangling zip tassels add signature touches. Style Name: Rebecca Minkoff Julian Nylon Backpack. Style Number: 5284692. Available in stores.",51
471,Urban Originals Eternity Vegan Leather Backpack - Grey,A tote-shaped backpack made from water-resistant faux leather features a convenient exterior zip pocket that makes a perfect place to stash your phone. Style Name: Urban Originals Eternity Vegan Leather Backpack. Style Number: 5525568. Available in stores.,51
472,Levi's Women's Backpack,"Levi's gives you stylish storage with this solid backpack, featuring exterior zippered pockets and adjustable straps.",51
473,double zipped backpack,Black calf leather double zipped backpack from Guidi.,51
474,adidas Originals National Compact Backpack,"Keep workout gear or daily essentials handy in this adidas Originals backpack, a compact bag with a logo at the front for a sporty look.",51
475,Nike Element Logo Backpack,"Two-compartment organization helps you keep your day on track with this Nike backpack, in durable fabric with a vibrant logo that updates a classic carry-all.",51
476,Tumi Men's Alpha Bravo Nathan Backpack,"A modern and versatile piece ready for the daily commute or a weekend trip, this Tumi backpack expands to hold a little more when you need it to. A multitude of pockets take care of everything from a laptop to a phone.",51
477,Fabric & Leather Rucksack,"Navy Fabric & Leather Rucksack from Troubadour. Perfect for trekking across the city and overnight trips. Opens wide at the top for easy access. External zippered pocket on the front, plus a padded pocket at the back that fits a 15-inch laptop. The buckle design borrows inspiration from a sniper-rifle strap. TroubadourCares is included with every purchase. This complimentary programme is designed to ensure your Troubadour product ages beautifully. On the first anniversary of your product purchase, a member of our team will contact you with details of how we can help with any repairs and reconditioning. Please note, every Troubadour product comes with a five-year guarantee against any manufacturing fault. Their commitment to exceptional quality and craftsmanship extends to the guarantee and repair service.",51
478,Solo Men's Region Backpack,"Stylishly low-key and organized, this Solo backpack helps keep your essentials handy and protected on campus or during the commute.",51
479,adidas Originals Santiago Mini Backpack,Get backpack convenience in pint-size proportions with this mini bag from adidas Originals. The colorful sporty look easily stands in for a purse.,51
480,Jansport Tropical Cross Town Backpack,"Outside pockets keep your must-haves handy, while the roomy interior of this Jansport backpack organizes the rest of your essentials.",51
481,Kate Spade New York Hayes Street - Teba Leather Backpack - Pink,"A polished city backpack detailed with a pair of swingy tassels is crafted from rich leather in a lightly structured silhouette that won't puddle when you put it down. Top gussets unsnap for easy access to essentials, while a top handle and adjustable backpack straps offer convenient carrying options. Style Name: Kate Spade New York Hayes Street - Teba Leather Backpack. Style Number: 5650929. Available in stores.",51
482,Tumi Voyageur Hagen Nylon Backpack - Brown,"Even if your travel itinerary isn't nonstop, your trips through any terminal will be with this thoughtfully organized, easy-access backpack. Designed with plenty of interior storage that is accessible from the exterior, you'll have your media and hydration securely stowed inside yet reachable without breaking your stride. Leather handles and trim add luxe styling to the list of things to love about this bag. Style Name: Tumi Voyageur Hagen Nylon",51
483,Loveless convertible box bag,"Discover the darkly alluring aesthetic of Alexander McQueen in the latest collection. Theatrical designs feature intricate, opulent detailing and gothic motifs. Crafted from smooth black leather, this Loveless convertible box bag from McQ Alexander Mcqueen features side zipped pockets, a top handle, a front zip pocket, silver-tone hardware, adjustable shoulder straps and silver-tone hardware.",51
484,zipped backpack,Black calf leather zipped backpack from Rebecca Minkoff.,51
485,High Sierra Camo Litmus Backpack,"The woodland combination of camo and blaze orange bring a fresh edge to this High Sierra backpack, a roomy bag with the tech and comfort features your day needs.",51
486,Tumi Stanton Gail Commuter Laptop Backpack - Grey,"Streamlined, sophisticated and lightweight, this versatile backpack-complete with a padded laptop compartment-will take you from work to weekend or travel adventures at a moment's notice. Multiple pockets make organization feel nearly effortless. Style Name: Tumi Stanton Gail Commuter Laptop Backpack. Style Number: 5642751. Available in stores.",51
487,Doughnut Mini Macaroon Water Resistant Backpack - Blue,"Whether you're commuting across town or off on an urban adventure, this boxy backpack made from durable water-repellent twill holds all the essentials in organized style. The compact and organized design with padded tablet compartment is stylish yet rugged, complete with hearty smooth leather and webbed trim. Style Name: Doughnut Mini Macaroon Water Resistant Backpack. Style Number: 5645279. Available in stores.",51
488,Urban Originals Eternity Vegan Leather Backpack - Brown,A tote-shaped backpack made from water-resistant faux leather features a convenient exterior zip pocket that makes a perfect place to stash your phone. Style Name: Urban Originals Eternity Vegan Leather Backpack. Style Number: 5525568 1. Available in stores.,51
489,Under Armour On Balance Storm Backpack,"From a water-repellent Storm finish to lined compartments for a laptop and tablet, this Under Armour backpack protects your gear. A padded back and straps bring extra comfort to your busy day.",51
490,Under Armour Hustle Storm Backpack,"Head for the gym or get away for the weekend with this Hustle backpack from Under Armour, with organization for everything from a laptop to shoes. Water-resistant Ua Storm technology and an abrasion-resistant bottom help protect your gear.",51
491,mini Fernweh suede backpack,Red suede mini Fernweh suede backpack from Manu Atelier.,51
492,Isar Memory Tech backpack,Black Isar Memory Tech backpack from C么te&Ciel. This item is unisex.,51
493,Chloe Mini Faye Leather & Suede Backpack - Brown,"Iconic equestrian-inspired hardware gleams against the chic mix of buttery-soft suede and leather on Chloe's Faye backpack. With its slightly slouchy silhouette, spacious interior and pair-with-anything hue, this luxe yet laid-back style is sure to become your new go-to. Style Name: Chloe Mini Faye Leather & Suede Backpack. Style Number: 5320629. Available in stores.",51
494,Doughnut Mini Montana Water Repellent Backpack - Black,"Named for Montana, where outdoor explorations are always encouraged, this scaled-down water-resistant twill backpack is ideal for the adventurer who travels light. Fronted by two handy snap pockets and secured by a rugged hook on the flap, this convenient design holds the essentials without weighing you down. Style Name: Doughnut Mini Montana Water Repellent Backpack. Style Number: 5645275. Available in stores.",51
495,The Sak Loyola Leather Backpack,Go hands-free in style with the beautiful Loyola Convertible Small Backpack by the Sak. The luxe leather exterior is accented with hand-stitched embellishments and sleek silver-tone studs.,51
496,Allsaints Vincent Leather Backpack - Burgundy,Clean lines and minimalist hardware play up the richly grained leather of a compact backpack featuring a cool belted exterior and well-organized interior. Style Name: Allsaints Vincent Leather Backpack. Style Number: 5662986. Available in stores.,51
497,Eastpak Padded Pak'R Nylon Backpack - Grey,"An iconic logo patch brands a campus-classic pack shaped from tough nylon canvas and featuring a padded back and straps for a comfortable carry. A spacious main compartment has ample room for books, laptop and other essentials, while an exterior zip pocket provides quick access to your phone and keys. Style Name: Eastpak Padded Pak'R Nylon Backpack. Style Number: 5632728. Available in stores.",51
498,Frye Melissa Leather Backpack - Brown,"Named for Frye's iconic Melissa boot, this spacious campus-inspired backpack is equally at home on the quad or the commuter train. Crafted from supple Italian leather highlighted with tonal topstitching and finished with a signature Frye button, the chic style carries on Frye's 150-year tradition of impeccable craftsmanship. Style Name: Frye Melissa Leather Backpack. Style Number: 5632151. Available in stores.",51
499,Dooney & Bourke Chicago Cubs Brianne Backpack,"Keep your essentials close while on the go. This Dooney & Bourke Mlb Brianne backpack is crafted with luxurious leathers and hardware and features a colorful team print for a classic, unique style.",51
500,Rebecca Minkoff Edie Metallic Leather Belt Bag - Metallic,"Whether you're running to the corner for coffee, grabbing lunch with friends or going on vacation, go with this trend-forward belt bag. Made from shimmering metallic leather and textured with chevron quilting, it's perfectly sized to hold the essentials without weighing you down. Style Name: Rebecca Minkoff Edie Metallic Leather Belt Bag. Style Number: 5676046 2. Available in stores.",52
501,Michael Michael Kors Suede Tassel Tie Belt - Black,"A suede belt with elegant gilded detailing and swingy, tassel-tipped ties recalls the glamour of silver-screen-era sirens. Style Name: Michael Michael Kors Suede Tassel Tie Belt. Style Number: 5767105. Available in stores.",52
502,Mali + Lili Quilted Vegan Leather Belt Bag - Red,Energize your street style with this compact belt bag that can be worn at the waist or slung casually over your shoulder. Remove the strap completely and you can carry the style as a chic clutch. Style Name: Mali + Lili Quilted Vegan Leather Belt Bag. Style Number: 5614474. Available in stores.,52
503,Whiting & Davis Crystal Belt Bag - Metallic,Stash your night-out essentials in this blinged-out mesh bag you wear at your hip slung from the adjustable chain-link belt. Style Name: Whiting & Davis Crystal Belt Bag. Style Number: 5722349. Available in stores.,52
504,Marc Jacobs Hip Shot Convertible Crossbody Bag - Orange,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038. Available in stores.",52
505,Michael Michael Kors Suede Tassel Tie Belt - Black,"A suede belt with elegant gilded detailing and swingy, tassel-tipped ties recalls the glamour of silver-screen-era sirens. Style Name: Michael Michael Kors Suede Tassel Tie Belt. Style Number: 5767105. Available in stores.",52
506,Brahmin Croc Embossed Leather Belt Bag - Ivory,Glazed croc-embossed leather lends a luxe element to a modern belt bag furnished with an adjustable strap to give you three styling options in one chic look. Style Name: Brahmin Croc Embossed Leather Belt Bag. Style Number: 5628803. Available in stores.,52
507,J.crew Harper Genuine Calf Hair & Leather Fanny Pack -,This fanny pack made from leopard-spotted calf hair features an internal card holder and adjustable strap so you can wear it around your waist or chest. Your call. Style Name:J.crew Harper Genuine Calf Hair & Leather Fanny Pack. Style Number: 5720375. Available in stores.,52
508,Tommy Jeans Logo Tape Fleece Fanny Pack - Ivory,The iconic staple of the '80s makes a triumphant return in high-pile fleece with a logo-jacquard strap that can be slung across the body or around the waist. Style Name: Tommy Jeans Logo Tape Fleece Fanny Pack. Style Number: 5738705. Available in stores.,52
509,Madewell The Simple Pouch Faux Fur Belt Bag - Red,"Your stuff wants to look as fab as you do, so stash it in this faux-fur bag sized just right for your phone, lip balm, keys and cards. Style Name: Madewell The Simple Pouch Faux Fur Belt Bag. Style Number: 5738097. Available in stores.",52
510,Marc Jacobs Hip Shot Convertible Crossbody Bag - Green,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038 3. Available in stores.",52
511,Fashion Focus Accessories Modern Geometric Croc Embossed Belt Bag,Modern shaped belt bag in mixed materials with status inspired round ornament and buckle. Outside pocket and belt in trendy patent croco faux leather.,52
512,Rebecca Minkoff Sequin Belt Bag - Metallic,Make a chic statement on your next girls' night out with this trend-savvy belt bag covering in shimmering paillettes and finished with braided trim. Style Name: Rebecca Minkoff Sequin Belt Bag. Style Number: 5676058 1. Available in stores.,52
513,Tasha Clear Belt Bag - White,"Doubling down on the season's biggest trends, this transparent belt bag is a clear winner in the street-style game. Slide the bag all the way off and style the belt separately for a cool, double-duty look. Style Name: Tasha Clear Belt Bag. Style Number: 5635425. Available in stores.",52
514,Rebecca Minkoff Edie Leather Belt Bag - Red,"Whether you're running to the corner for coffee, grabbing lunch with friends or going on vacation, go with this trend-forward belt bag made from quilted leather and finished with gleaming hardware. Style Name: Rebecca Minkoff Edie Leather Belt Bag. Style Number: 5675905 2. Available in stores.",52
515,Marc Jacobs Hip Shot Convertible Crossbody Bag - Black,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038. Available in stores.",52
516,Miu Miu Matelasse Lambskin Leather Belt Bag - Metallic,Signature matelasse stitching and gilded hardware enhance the lavish look and feel of a versatile belt bag made from soft lambskin. It also comes with an optional chain strap so it can be worn crossbody. Style Name: Miu Miu Matelasse Lambskin Leather Belt Bag. Style Number: 5726018. Available in stores.,52
517,Mali + Lili Faye Vegan Leather Quilted Belt Bag - Grey,"Add this belt bag to your bling collection, available in a variety of quilted faux-leather tones, it packs a punch of style and a whole lot of daily essentials. Style Name: Mali + Lili Faye Vegan Leather Quilted Belt Bag. Style Number: 5690910. Available in stores.",52
518,Madewell The Simple Pouch Faux Fur Belt Bag - Red,"Your stuff wants to look as fab as you do, so stash it in this faux-fur bag sized just right for your phone, lip balm, keys and cards. Style Name: Madewell The Simple Pouch Faux Fur Belt Bag. Style Number: 5738097. Available in stores.",52
519,Brahmin Croc Embossed Leather Belt Bag - Ivory,Glazed croc-embossed leather lends a luxe element to a modern belt bag furnished with an adjustable strap to give you three styling options in one chic look. Style Name: Brahmin Croc Embossed Leather Belt Bag. Style Number: 5628803. Available in stores.,52
520,Jane & Berry Geo Embossed Belt Bag - Black,Prismatic texture with a glossy finish gives this hands-free belt bag a stunning futuristic look. Style Name: Jane & Berry Geo Embossed Belt Bag. Style Number: 5725620. Available in stores.,52
521,Malibu Skye Geo Faux Leather Belt Bag - Metallic,"Whether you wear in at your hips or slung crossbody style, this two-part belt bag will help keep you organized and chic at the same time. Style Name: Malibu Skye Geo Faux Leather Belt Bag. Style Number: 5651867. Available in stores.",52
522,Steve Madden Quilted Belt Bag - Black,Chevron quilting adds subtle texture to this faux leather belt bag. Style Name: Steve Madden Quilted Belt Bag. Style Number: 5576266. Available in stores.,52
523,Mali + Lili Faye Vegan Leather Quilted Belt Bag - Black,"Add this belt bag to your bling collection, available in a variety of quilted faux-leather tones, it packs a punch of style and a whole lot of daily essentials. Style Name: Mali + Lili Faye Vegan Leather Quilted Belt Bag. Style Number: 5690910. Available in stores.",52
524,Treasure & Bond Mason Pebbled Leather Belt Bag - Green,"Richly pebbled leather set off with gleaming hardware lends a luxe element to a trend-smart belt bag designed with plenty of room for the essentials. Whether you style it around the waist or wear it crossbody, it perfectly complements your everyday look. When you buy Treasure & Bond, Nordstrom will donate 2.5% of net sales to organizations that work to empower youth. Style Name: Treasure & Bond Mason Pebbled Leather Belt Bag. Style Number:",52
525,Marc Jacobs Hip Shot Convertible Crossbody Bag - Orange,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038. Available in stores.",52
526,Marc Jacobs Hip Shot Convertible Leather Belt Bag - Blue,"Whether you wear it as a belt bag, sling it over your shoulder or carry it as a clutch, this ultra-versatile, color-blocked bag is a great way to refresh your look. Double-J hardware and a webbed logo strap brand the trend-forward style. Style Name: Marc Jacobs Hip Shot Convertible Leather Belt Bag. Style Number: 5663222. Available in stores.",52
527,Herschel Supply Co. X Hoffman Fifteen Belt Bag - Blue,"Presented in collaboration with iconic surf brand Hoffman, this convenient belt bag is reimagined in a throwback floral print. Style Name: Herschel Supply Co. X Hoffman Fifteen Belt Bag. Style Number: 5713896. Available in stores.",52
528,Saint Laurent Lou Quilted Leather Belt Bag With Tassel -,"A large, swishy tassel adds to the fun of a luxe calfskin belt bag that looks freshest worn crossbody style. Style Name: Saint Laurent Lou Quilted Leather Belt Bag With Tassel. Style Number: 5723240 1. Available in stores.",52
529,Saint Laurent Lou Quilted Leather Belt Bag With Tassel -,"A large, swishy tassel adds to the fun of a luxe calfskin belt bag that looks freshest worn crossbody style. Style Name: Saint Laurent Lou Quilted Leather Belt Bag With Tassel. Style Number: 5723240. Available in stores.",52
530,Jw Anderson Multi Pocket Leather Belt Bag -,A quartet of leather pouches details a grommet-punctuated canvas belt bag that looks freshest worn crossbody style. Style Name: Jw Anderson Multi Pocket Leather Belt Bag. Style Number: 5681632. Available in stores.,52
531,A.p.c. Banane Lucille Fanny Pack -,A bold logo banner details a slick fanny pack that can be worn at the hip but looks fresh for the season worn across your chest. Style Name:A.p.c. Banane Lucille Fanny Pack. Style Number: 5686642. Available in stores.,52
532,Eastpak Springer Nylon Belt Bag - Green,"Capacity, comfort and convenience combine in this trend-savvy beltbag that's ready to get you through a full day of touring without a hint of carry fatigue. Style Name: Eastpak Springer Nylon Belt Bag. Style Number: 5632761 2. Available in stores.",52
533,Jane & Berry Geo Embossed Belt Bag - Black,Prismatic texture with a glossy finish gives this hands-free belt bag a stunning futuristic look. Style Name: Jane & Berry Geo Embossed Belt Bag. Style Number: 5725620. Available in stores.,52
534,Marc Jacobs Hip Shot Convertible Leather Belt Bag - Ivory,"Whether you wear it as a belt bag, sling it over your shoulder or carry it as a clutch, this ultra-versatile, color-blocked bag is a great way to refresh your look. Double-J hardware and a webbed logo strap brand the trend-forward style. Style Name: Marc Jacobs Hip Shot Convertible Leather Belt Bag. Style Number: 5663222. Available in stores.",52
535,Malibu Skye Geo Faux Leather Belt Bag - Metallic,"Whether you wear in at your hips or slung crossbody style, this two-part belt bag will help keep you organized and chic at the same time. Style Name: Malibu Skye Geo Faux Leather Belt Bag. Style Number: 5651867. Available in stores.",52
536,Steve Madden Becca Metallic Studded Belt Bag -,Tiny studs detail a metallic belt bag that can be worn around your waist or slung crossbody style for a fresh twist on the look. Strips of leather are braided through the decorative looped chains for extra attitude. Style Name: Steve Madden Becca Metallic Studded Belt Bag. Style Number: 5710097. Available in stores.,52
537,Saint Laurent Lou Quilted Leather Belt Bag With Tassel -,"A large, swishy tassel adds to the fun of a luxe calfskin belt bag that looks freshest worn crossbody style. Style Name: Saint Laurent Lou Quilted Leather Belt Bag With Tassel. Style Number: 5723240 1. Available in stores.",52
538,Vooray Active Water Resistant Nylon Fanny Pack - Black,"Made from rugged, water-resistant nylon and fitted with military-grade clips and zips, this sturdy little belt bag is both cute and practical. It's ideally sized for carrying the essentials while running, biking or hiking, and it features a cord port so you can listen to your workout mix with ease. Style Name: Vooray Active Water Resistant Nylon Fanny Pack. Style Number: 5704756. Available in stores.",52
539,Senreve Aria Pebbled Leather Belt Bag - Blue,"This belt-bag version of the cult-favorite It-bag is crafted from pebbled Italian leather and, like the original, is a compact multitasking dynamo. Style Name: Senreve Aria Pebbled Leather Belt Bag. Style Number: 5719404. Available in stores.",52
540,Jw Anderson Multi Pocket Leather Belt Bag -,A quartet of leather pouches details a grommet-punctuated canvas belt bag that looks freshest worn crossbody style. Style Name: Jw Anderson Multi Pocket Leather Belt Bag. Style Number: 5681632. Available in stores.,52
541,J.crew Harper Genuine Calf Hair & Leather Fanny Pack -,This fanny pack made from leopard-spotted calf hair features an internal card holder and adjustable strap so you can wear it around your waist or chest. Your call. Style Name:J.crew Harper Genuine Calf Hair & Leather Fanny Pack. Style Number: 5720375. Available in stores.,52
542,Mali + Lili Quilted Vegan Leather Belt Bag - Black,Energize your street style with this compact belt bag that can be worn at the waist or slung casually over your shoulder. Remove the strap completely and you can carry the style as a chic clutch. Style Name: Mali + Lili Quilted Vegan Leather Belt Bag. Style Number: 5614474 3. Available in stores.,52
543,Vince Camuto Vertical Stitch Convertible Belt Bag,Vince Camuto Vertical Stitch Convertible Belt Bag,52
544,Whiting & Davis Crystal Belt Bag - Black,Stash your night-out essentials in this blinged-out mesh bag you wear at your hip slung from the adjustable chain-link belt. Style Name: Whiting & Davis Crystal Belt Bag. Style Number: 5722349. Available in stores.,52
545,Marc Jacobs Hip Shot Convertible Crossbody Bag -,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038. Available in stores.",52
546,Rebecca Minkoff Edie Leather Belt Bag - Brown,"Whether you're running to the corner for coffee, grabbing lunch with friends or going on vacation, go with this trend-forward belt bag made from quilted leather and finished with gleaming hardware. Style Name: Rebecca Minkoff Edie Leather Belt Bag. Style Number: 5675905 2. Available in stores.",52
547,Marc Jacobs Hip Shot Convertible Leather Belt Bag - Blue,"Whether you wear it as a belt bag, sling it over your shoulder or carry it as a clutch, this ultra-versatile, color-blocked bag is a great way to refresh your look. Double-J hardware and a webbed logo strap brand the trend-forward style. Style Name: Marc Jacobs Hip Shot Convertible Leather Belt Bag. Style Number: 5663222. Available in stores.",52
548,Heron Preston Men's Concrete Jungle CTNMB Fanny Pack - Orange,"From the Concrete Jungle Collection. Sporty fanny pack with a spray-paint logo detail. Top handle Adjustable buckled waist Top zip close Front zip pocket Polyester/polyamide/polyproplyene Made in Italy SIZE 9""W x 6.75""H x 3.25""D. Men Accessories - Leather Goods > Saks Fifth Avenue > Barneys. Heron Preston. Color: Orange.",52
549,Mz Wallace Metro Belt Bag - Black,"A trend-savvy nylon belt bag is perfectly sized to hold your smartphone, keys and other small essentials. Style Name: Mz Wallace Metro Belt Bag. Style Number: 5721743. Available in stores.",52
550,Saint Laurent Kate Leather Belt Bag - Black,An interlocking insignia shines against the calfskin leather of a chic belt bag furnished with a handy zip pocket and card slots. Style Name: Saint Laurent Kate Leather Belt Bag. Style Number: 5723242. Available in stores.,52
551,Madewell The Simple Pouch Faux Fur Belt Bag - Red,"Your stuff wants to look as fab as you do, so stash it in this faux-fur bag sized just right for your phone, lip balm, keys and cards. Style Name: Madewell The Simple Pouch Faux Fur Belt Bag. Style Number: 5738097. Available in stores.",52
552,Like Dreams Checkered Faux Leather Belt Bag - White,A funky checkerboard pattern adds graphic edge to an of-the-moment belt bag secured with a sporty webbing strap. Style Name: Like Dreams Checkered Faux Leather Belt Bag. Style Number: 5720529. Available in stores.,52
553,Jane & Berry Geo Embossed Belt Bag -,Prismatic texture with a glossy finish gives this hands-free belt bag a stunning futuristic look. Style Name: Jane & Berry Geo Embossed Belt Bag. Style Number: 5725620. Available in stores.,52
554,Coach Men's Mini Rivington Utility Fanny Pack - Flax,"Dapper leather belt bag with a signature Coach patch across the front. Top zip closure Gunmetal tone hardware One outside zip pocket One inside multi-function pocket Hanging logo charm Lined Leather Imported SIZE 12.25""W x 4.75""H x 2.75""D. Men Accessories - Leather Goods > Saks Fifth Avenue > Barneys. Coach. Color: Flax.",52
555,Danielle Nicole Alissa Faux Leather Belt Bag - Green,"Keep all your accessories close while your hands and arms stay totally free with this chic, faux-leather belt bag. Perfectly sized to take on vacation or on the town, the adjustable design can be worn around your waist or slung over your shoulder. Style Name: Danielle Nicole Alissa Faux Leather Belt Bag. Style Number: 5686013. Available in stores.",52
556,Saint Laurent Vicky Lambskin Leather Belt Bag - Ivory,A gleaming logo insignia and vertical channel quilting amplify the luxe aesthetic of a lambskin leather belt bag that's keyed to the street scene. Style Name: Saint Laurent Vicky Lambskin Leather Belt Bag. Style Number: 5723273. Available in stores.,52
557,Yoki Bags Geometric Detail Faux Leather Belt Bag - Black,"A prismatic array of glossy triangles imparts slick, futuristic style to a street-cool belt bag. Style Name: Yoki Bags Geometric Detail Faux Leather Belt Bag. Style Number: 5677010. Available in stores.",52
558,Danielle Nicole Elia Faux Leather Belt Bag -,"Keep all your accessories close while your hands and arms stay totally free with this chic, faux-leather belt bag. Perfectly sized to take on vacation or on the town, the adjustable design can be worn around your waist or slung over your shoulder. Style Name: Danielle Nicole Elia Faux Leather Belt Bag. Style Number: 5686016. Available in stores.",52
559,Marc Jacobs Sport Compact Leather Wallet -,"Tonal logo hardware brings subtle branding to a sleek, streamlined wallet designed with a wealth of pockets and card slots to keep essentials neatly organized. Style Name: Marc Jacobs Sport Compact Leather Wallet. Style Number: 5663213. Available in stores.",52
560,Rebecca Minkoff Nylon Belt Bag -,"Whether you're running to the corner for coffee or going on vacation, go with this trend-forward belt bag made from durable nylon and finished with signature tasseled zip pulls. Style Name: Rebecca Minkoff Nylon Belt Bag. Style Number: 5486809 8. Available in stores.",52
561,Tommy Hilfiger Men's Alexander Belt Bag,"Style, straight from the hip. Tommy Hilfiger's Alexander belt bag is perfect for carrying the essentials wherever the day takes you.",52
562,Senreve Aria Pebbled Leather Belt Bag - Blue,"This belt-bag version of the cult-favorite It-bag is crafted from pebbled Italian leather and, like the original, is a compact multitasking dynamo. Style Name: Senreve Aria Pebbled Leather Belt Bag. Style Number: 5719404. Available in stores.",52
563,Marc Jacobs Snapshot Small Leather Wallet - Blue,"A polished stacked-J logo emblem and color-blocked styling distinguish a compact leather wallet featuring a trio of external card slots, a see-through ID window and a handy key ring. Style Name: Marc Jacobs Snapshot Small Leather Wallet. Style Number: 5663219. Available in stores.",52
564,Topshop Beau Belt Bag - Yellow,Multiple interior compartments add organizational ease to this standout belt bag. Style Name: Topshop Beau Belt Bag. Style Number: 5722031 1. Available in stores.,52
565,Rag & Bone Large Elliot Metallic Leather Fanny Pack - Metallic,Wide toothy zippers race across the soft leather of a street-ready fanny pack that can be cinched like a sling or worn straight around the waist. Slender ties add swingy movement to a close-at-hand bag that carries the essentials. Style Name: Rag & Bone Large Elliot Metallic Leather Fanny Pack. Style Number: 5743994. Available in stores.,52
566,Like Dreams Checkered Faux Leather Belt Bag - White,A funky checkerboard pattern adds graphic edge to an of-the-moment belt bag secured with a sporty webbing strap. Style Name: Like Dreams Checkered Faux Leather Belt Bag. Style Number: 5720529. Available in stores.,52
567,Marc Jacobs Hip Shot Convertible Crossbody Bag - Green,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038 3. Available in stores.",52
568,Marc Jacobs Hip Shot Convertible Crossbody Bag - Metallic,"Bold color blocking and a gleaming double-J logo distinguish a crosshatched leather bag that merges the season's belt-bag trend with versatile functionality. Whether you style it around the waist, wear it crossbody or carry it as a chic clutch, it perfectly complements your everyday look. Style Name: Marc Jacobs Hip Shot Convertible Crossbody Bag. Style Number: 5577038. Available in stores.",52
569,Like Dreams Tweed Belt Bag - Black,"Nubby tweed, diamond quilting and a jangling chain give this of-the-moment belt bag an unexpectedly ladylike look. Style Name: Like Dreams Tweed Belt Bag. Style Number: 5720525. Available in stores.",52
570,Treasure & Bond Mason Pebbled Leather Belt Bag - Grey,"Richly pebbled leather set off with gleaming hardware lends a luxe element to a trend-smart belt bag designed with plenty of room for the essentials. Whether you style it around the waist or wear it crossbody, it perfectly complements your everyday look. When you buy Treasure & Bond, Nordstrom will donate 2.5% of net sales to organizations that work to empower youth. Style Name: Treasure & Bond Mason Pebbled Leather Belt Bag. Style Number:",52
571,Madewell The Simple Pouch Faux Fur Belt Bag - Red,"Your stuff wants to look as fab as you do, so stash it in this faux-fur bag sized just right for your phone, lip balm, keys and cards. Style Name: Madewell The Simple Pouch Faux Fur Belt Bag. Style Number: 5738097. Available in stores.",52
572,Like Dreams Houndstooth Belt Bag - Pink,A colorful houndstooth print adds geometric texture to an of-the-moment belt bag secured with a sporty webbing strap. Style Name: Like Dreams Houndstooth Belt Bag. Style Number: 5603570. Available in stores.,52
573,Mz Wallace Metro Belt Bag - Black,"A trend-savvy nylon belt bag is perfectly sized to hold your smartphone, keys and other small essentials. Style Name: Mz Wallace Metro Belt Bag. Style Number: 5721743. Available in stores.",52
574,Fashion Focus Accessories Modern Geometric Croc Embossed Belt Bag,Modern shaped belt bag in mixed materials with status inspired round ornament and buckle. Outside pocket and belt in trendy patent croco faux leather.,52
575,Danielle Nicole Elia Faux Leather Belt Bag - Yellow,"Keep all your accessories close while your hands and arms stay totally free with this chic, faux-leather belt bag. Perfectly sized to take on vacation or on the town, the adjustable design can be worn around your waist or slung over your shoulder. Style Name: Danielle Nicole Elia Faux Leather Belt Bag. Style Number: 5686016. Available in stores.",52
576,Jansport Fifth Avenue Fanny Pack - Purple,"With the versatility to be slung over the shoulder or worn around the waist, this compact hip pack carries all the small items you need for the day. Style Name: Jansport Fifth Avenue Fanny Pack. Style Number: 5751553. Available in stores.",52
577,Fashion Focus Accessories Modern Geometric Snake-Print Belt Bag,Modern shaped belt bag in mixed materials with status inspired round ornament and buckle. Outside pocket and belt in trendy python print.,52
